date|name|open|high|low|close|volume|pct_change_close|country
2020-01-02|AAK|177.95|185.0|177.55|183.0|586528.0|0.0280898876404493|SE
2020-01-03|AAK|183.35|183.35|180.2|181.45|428082.0|-0.0084699453551913|SE
2020-01-07|AAK|181.0|185.4|180.6|184.5|1001670.0|0.0168090383025627|SE
2020-01-08|AAK|184.55|188.15|182.6|186.0|621467.0|0.0081300813008129|SE
2020-01-09|AAK|187.0|187.65|184.35|184.5|507281.0|-0.0080645161290322|SE
2020-01-10|AAK|185.6|186.35|182.6|182.85|200144.0|-0.0089430894308943|SE
2020-01-13|AAK|182.65|185.9|182.55|184.3|756014.0|0.0079299972655182|SE
2020-01-14|AAK|184.3|187.35|181.65|187.35|448166.0|0.0165491047205641|SE
2020-01-15|AAK|187.35|188.35|179.55|182.75|686524.0|-0.0245529757139044|SE
2020-01-16|AAK|182.75|185.7|181.65|185.2|437536.0|0.0134062927496578|SE
2020-01-17|AAK|185.2|185.85|182.25|185.85|693346.0|0.0035097192224622|SE
2020-01-20|AAK|186.0|186.7|184.85|185.5|549480.0|-0.0018832391713747|SE
2020-01-21|AAK|185.45|186.4|182.65|186.25|218916.0|0.0040431266846361|SE
2020-01-22|AAK|186.7|186.85|182.35|185.35|543000.0|-0.0048322147651006|SE
2020-01-23|AAK|185.35|186.2|183.6|184.0|371749.0|-0.0072835176692742|SE
2020-01-24|AAK|184.15|186.65|183.9|185.65|368989.0|0.0089673913043477|SE
2020-01-27|AAK|184.7|185.6|181.65|182.45|316360.0|-0.0172367357931592|SE
2020-01-28|AAK|182.4|184.8|180.9|183.85|330302.0|0.0076733351603179|SE
2020-01-29|AAK|184.6|187.0|183.4|187.0|391297.0|0.0171335327712809|SE
2020-01-30|AAK|189.6|203.8|189.5|192.2|1347108.0|0.027807486631016|SE
2020-01-31|AAK|191.0|191.0|177.85|181.05|1804552.0|-0.0580124869927157|SE
2020-02-03|AAK|181.0|182.45|177.15|181.8|728719.0|0.0041425020712511|SE
2020-02-04|AAK|181.9|184.4|181.9|183.3|499384.0|0.0082508250825081|SE
2020-02-05|AAK|183.0|183.95|181.75|181.75|363690.0|-0.0084560829241681|SE
2020-02-06|AAK|181.95|183.45|178.55|183.1|351768.0|0.0074277854195323|SE
2020-02-07|AAK|183.0|184.65|179.15|182.6|356871.0|-0.0027307482250136|SE
2020-02-10|AAK|182.6|184.3|181.65|183.95|238992.0|0.007393209200438|SE
2020-02-11|AAK|184.15|187.2|183.6|185.15|429974.0|0.0065235118238653|SE
2020-02-12|AAK|185.15|186.3|182.15|183.85|341136.0|-0.0070213340534702|SE
2020-02-13|AAK|183.75|184.8|181.9|184.6|273596.0|0.0040794125645906|SE
2020-02-14|AAK|184.95|188.65|184.8|186.6|292800.0|0.0108342361863489|SE
2020-02-17|AAK|187.7|188.5|185.9|187.2|181580.0|0.0032154340836012|SE
2020-02-18|AAK|188.0|188.95|185.9|187.6|172170.0|0.0021367521367521|SE
2020-02-19|AAK|187.75|190.7|187.45|190.35|277438.0|0.0146588486140724|SE
2020-02-20|AAK|190.35|192.45|189.0|190.5|320867.0|0.0007880220646179|SE
2020-02-21|AAK|190.9|190.95|188.3|189.15|141196.0|-0.0070866141732283|SE
2020-02-24|AAK|187.6|187.6|179.5|182.6|578800.0|-0.034628601638911|SE
2020-02-25|AAK|181.0|184.9|180.35|181.5|593335.0|-0.0060240963855421|SE
2020-02-26|AAK|178.5|181.45|173.25|180.6|516153.0|-0.0049586776859504|SE
2020-02-27|AAK|175.5|177.95|171.3|173.4|539596.0|-0.0398671096345514|SE
2020-02-28|AAK|168.0|169.5|164.6|165.45|954446.0|-0.0458477508650519|SE
2020-03-02|AAK|167.9|171.2|161.95|166.7|939049.0|0.0075551526140829|SE
2020-03-03|AAK|170.0|172.85|168.45|171.0|662941.0|0.0257948410317936|SE
2020-03-04|AAK|172.0|172.7|169.65|170.8|393191.0|-0.0011695906432748|SE
2020-03-05|AAK|173.5|173.5|167.3|170.0|355111.0|-0.0046838407494146|SE
2020-03-06|AAK|167.9|167.9|161.95|163.55|353379.0|-0.0379411764705881|SE
2020-03-09|AAK|150.6|159.8|150.6|155.5|577252.0|-0.0492204218893305|SE
2020-03-10|AAK|155.9|162.25|155.5|157.9|585242.0|0.0154340836012862|SE
2020-03-11|AAK|161.3|163.15|157.5|158.2|1358403.0|0.0018999366687775|SE
2020-03-12|AAK|150.0|151.85|136.25|137.85|1343910.0|-0.1286346396965866|SE
2020-03-13|AAK|137.85|145.05|136.1|137.8|1156239.0|-0.0003627130939425|SE
2020-03-16|AAK|132.0|135.05|124.95|133.05|1015042.0|-0.0344702467343976|SE
2020-03-17|AAK|137.0|141.8|127.5|140.4|729758.0|0.0552423900789176|SE
2020-03-18|AAK|140.15|150.7|135.75|144.0|1192911.0|0.0256410256410255|SE
2020-03-19|AAK|144.25|151.75|140.15|150.9|562690.0|0.0479166666666666|SE
2020-03-20|AAK|160.0|160.0|143.8|146.15|783183.0|-0.0314777998674619|SE
2020-03-23|AAK|141.65|145.0|135.85|138.1|771312.0|-0.0550803968525488|SE
2020-03-24|AAK|142.5|146.6|139.05|140.1|642308.0|0.0144822592324402|SE
2020-03-25|AAK|146.0|146.0|138.0|145.0|717520.0|0.0349750178443968|SE
2020-03-26|AAK|145.0|152.85|143.15|152.85|633726.0|0.0541379310344827|SE
2020-03-27|AAK|153.2|155.05|148.45|149.35|722178.0|-0.0228982662741249|SE
2020-03-30|AAK|151.2|153.5|147.3|153.45|449464.0|0.0274522932708403|SE
2020-03-31|AAK|154.0|163.1|154.0|161.9|809716.0|0.0550667970022809|SE
2020-04-01|AAK|161.0|164.45|157.0|159.85|342648.0|-0.01266213712168|SE
2020-04-02|AAK|160.5|162.5|154.8|158.4|687373.0|-0.0090710040663121|SE
2020-04-03|AAK|158.4|162.4|156.3|158.75|516095.0|0.002209595959596|SE
2020-04-06|AAK|162.2|164.45|153.75|156.7|607863.0|-0.0129133858267717|SE
2020-04-07|AAK|158.95|164.0|157.75|163.0|1103826.0|0.0402042118698149|SE
2020-04-08|AAK|164.1|164.1|158.15|159.4|363346.0|-0.0220858895705521|SE
2020-04-09|AAK|161.5|163.3|159.3|159.6|241764.0|0.001254705144291|SE
2020-04-14|AAK|164.0|169.05|161.0|167.35|673962.0|0.0485588972431076|SE
